brokered_by,status,price,bed,bath,acre_lot,street,city,state,zip_code,house_size,prev_sold_date
23592.0,for_sale,6250000.0,3.0,3.0,0.02,1427728.0,New York City,New York,10014.0,2661.0,2017-11-03
22611.0,for_sale,559000.0,4.0,2.0,0.27,1792846.0,Glen Rock,New Jersey,7452.0,1580.0,2010-01-22
104227.0,for_sale,5175000.0,5.0,5.0,0.04,667957.0,New York City,New York,10016.0,4080.0,1996-12-26
40900.0,for_sale,599000.0,3.0,1.0,0.04,1393485.0,Brooklyn,New York,11212.0,1116.0,1984-11-20
53227.0,for_sale,845000.0,4.0,2.0,0.06,1652080.0,Bronx,New York,10467.0,1800.0,1990-10-26
15300.0,for_sale,609000.0,9.0,4.0,0.09,1101110.0,Paterson,New Jersey,7514.0,2904.0,2009-01-12
53300.0,for_sale,949000.0,8.0,3.0,0.06,992445.0,Bronx,New York,10467.0,3000.0,2016-04-08
20599.0,for_sale,3000000.0,4.0,3.0,0.53,662237.0,New York City,New York,10003.0,2150.0,2014-03-13
81422.0,for_sale,1149900.0,3.0,2.0,0.15,415431.0,Bronx,New York,10463.0,1300.0,2007-04-16
7601.0,for_sale,979000.0,8.0,5.0,0.04,1610530.0,Bronx,New York,10467.0,3297.0,2019-01-24
53512.0,for_sale,690000.0,3.0,3.0,0.05,1660940.0,Glendale,New York,11385.0,1152.0,1997-10-23
106842.0,for_sale,969000.0,5.0,4.0,0.41,1418565.0,Wayne,New Jersey,7470.0,17990.0,2006-09-11
53641.0,for_sale,1500000.0,4.0,4.0,0.91,1383933.0,Wyckoff,New Jersey,7481.0,39600.0,2021-01-21
53512.0,for_sale,1180000.0,7.0,3.0,0.05,1034042.0,Corona,New York,11368.0,1968.0,2005-02-11
733.0,for_sale,799000.0,7.0,3.0,0.05,1209875.0,Brooklyn,New York,11203.0,1156.0,2018-06-04
16837.0,for_sale,1850000.0,6.0,6.0,0.29,1739375.0,Glen Ridge Boro Township,New Jersey,7028.0,4328.0,2021-03-02
23624.0,for_sale,650000.0,2.0,2.0,0.02,1261214.0,Bronx,New York,10463.0,1028.0,2014-06-26
27151.0,for_sale,1158000.0,5.0,2.0,0.04,1336662.0,Woodside,New York,11377.0,1956.0,2008-06-02
57873.0,for_sale,394900.0,3.0,3.0,0.06,1443391.0,Brooklyn,New York,11207.0,1200.0,2007-01-18
52941.0,for_sale,340000.0,3.0,2.0,1.06,1783147.0,Bronx,New York,10473.0,899.0,2007-03-08
65549.0,for_sale,20000000.0,7.0,9.0,0.05,1369454.0,New York City,New York,10075.0,10800.0,1995-06-12
69135.0,for_sale,550000.0,4.0,3.0,0.05,1035520.0,Bronx,New York,10463.0,1276.0,2016-10-11
22611.0,for_sale,699000.0,3.0,2.0,0.34,1369768.0,Glen Rock,New Jersey,7452.0,1759.0,2016-06-01
33714.0,for_sale,675000.0,5.0,3.0,0.04,867980.0,Bronx,New York,10458.0,2226.0,2018-07-25
72318.0,for_sale,499900.0,3.0,2.0,0.46,987513.0,Parsippany Troy Hills Township,New Jersey,7054.0,20038.0,2018-10-22
